Chip Run Info,C:\Users\eva\Documents\Fluidigm\Result\DB\Amol\141104EES Plate3 Amol index\ChipRun.bml,1361995087,96.96 (136x),GE 96x96 Fast PCR+Melt v2,ROX,EvaGreen,2014-11-04 16:17:18,00:30:47,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S06-A63, P3 A6,Unknown,1,Gata2,Test,17.4180935394333,0,Pass,0.01733464063088,85.0387188897735,78.1546270844574,0.767795181652919,
S06-A62, P3 A6,Unknown,1,Ebf1,Test,16.4275707131236,0,Fail,0.01733464063088,999,77.8841235255611,0,
S06-A61, P3 A6,Unknown,1,Cd48,Test,18.1494885136416,1,Pass,0.01733464063088,81.9177213926109,999,1,
S06-A72, P3 A6,Unknown,1,Pbx1,Test,16.890068922456,1,Pass,0.01733464063088,82.8019223058875,999,1,
S06-A71, P3 A6,Unknown,1,Zfpm1,Test,16.3357211238639,1,Pass,0.01733464063088,84.3354187473821,999,1,
S06-A70, P3 A6,Unknown,1,Tcf7,Test,15.5002869936506,1,Pass,0.01733464063088,80.8075218771324,999,1,
S06-A69, P3 A6,Unknown,1,Notch1,Test,14.0268198710133,0,Pass,0.01733464063088,84.1053972712658,75.7309633184789,0.612251195802699,
S06-A68, P3 A6,Unknown,1,Lyl1,Test,14.7119750371791,1,Pass,0.01733464063088,87.84145065981,999,1,
S06-A67, P3 A6,Unknown,1,Ezh1,Test,999,0,Fail,0.01733464063088,999,999,0,
S06-A78, P3 A6,Unknown,1,CDK4,Test,10.8363288738253,1,Pass,0.01733464063088,83.0680597418908,999,1,
S06-A77, P3 A6,Unknown,1,Tcfe2a,Test,12.6231884437412,1,Pass,0.01733464063088,84.3128798521558,999,1,
S06-A76, P3 A6,Unknown,1,Mpl,Test,19.6377161842712,0,Fail,0.01733464063088,999,79.0170276657079,0,
S06-A75, P3 A6,Unknown,1,Gfi1b,Test,999,0,Fail,0.01733464063088,999,999,0,
S06-A74, P3 A6,Unknown,1,Egr1,Test,19.1003712863915,0,Fail,0.01733464063088,999,78.5539157656356,0,
S06-A73, P3 A6,Unknown,1,Cdkn1a,Test,999,0,Fail,0.01733464063088,999,999,0,
S06-A84, P3 A6,Unknown,1,pbx3,Test,17.2639513578937,1,Pass,0.01733464063088,85.0884530821764,999,1,
S06-A83, P3 A6,Unknown,1,Cebpb,Test,18.2159191585479,1,Pass,0.01733464063088,88.189324899782,999,1,
S06-A82, P3 A6,Unknown,1,TEK,Test,15.437613606137,1,Pass,0.01733464063088,79.0324630712783,999,1,
S06-A81, P3 A6,Unknown,1,Prdm5,Test,16.3437097525439,1,Fail,0.01733464063088,80.6738990800343,999,1,
S06-A80, P3 A6,Unknown,1,Mdm2,Test,16.5629851524009,1,Pass,0.01733464063088,79.8996888127535,999,1,
S06-A79, P3 A6,Unknown,1,GMNN,Test,12.1166692484853,1,Pass,0.01733464063088,80.6969547719167,999,1,
S06-A90, P3 A6,Unknown,1,CDK6,Test,10.8327442579378,1,Pass,0.01733464063088,80.9608218087531,999,1,
S06-A89, P3 A6,Unknown,1,Trp53,Test,12.5586482639501,1,Pass,0.01733464063088,83.6750362272558,999,1,
S06-A88, P3 A6,Unknown,1,Myb,Test,9.92632615238237,1,Pass,0.01733464063088,82.4302167874213,999,1,
S06-A87, P3 A6,Unknown,1,Hlf,Test,13.8599106315324,1,Pass,0.01733464063088,81.3359798103977,999,1,
S06-A86, P3 A6,Unknown,1,Ezh2,Test,11.7347514067568,1,Pass,0.01733464063088,77.1835667935864,999,1,
S06-A85, P3 A6,Unknown,1,Cdkn1b,Test,17.3516945337481,1,Pass,0.01733464063088,82.8476262837545,999,1,
S06-A96, P3 A6,Unknown,1,Runx1t1,Test,24.4330350760769,0,Fail,0.01733464063088,999,79.3709289620606,0,
S06-A95, P3 A6,Unknown,1,Erg,Test,17.2308804368386,1,Pass,0.01733464063088,85.856260442309,78.529140973201,0.848466863464976,
S06-A94, P3 A6,Unknown,1,Tgm2,Test,999,0,Fail,0.01733464063088,999,999,0,
S06-A93, P3 A6,Unknown,1,Prmt2,Test,20.3158459706961,0,Fail,0.01733464063088,999,78.143267420335,0,
